date,open,high,low,close,volume
2025-04-25,3352.15,3370.75,3265.23,3318.99,181733
2025-04-28,3331.29,3353.02,3268.07,3344.24,170866
2025-04-29,3344.82,3348.59,3299.74,3317.31,147535
2025-04-30,3314.58,3328.13,3267.02,3288.45,161757
2025-05-01,3288.91,3290.12,3201.97,3238.04,168956
2025-05-02,3240.7,3269.28,3222.89,3241.18,167290
2025-05-05,3242.09,3337.62,3237.53,3333.99,154841
2025-05-06,3336.51,3434.96,3323.51,3430.62,192325
2025-05-07,3434.07,3435.2,3360.21,3364.2,192472
2025-05-08,3365.08,3414.75,3288.73,3306.45,192977
2025-05-09,3308.34,3347.57,3274.74,3326.1,166934
2025-05-12,3289.68,3292.45,3207.81,3234.37,201223
2025-05-13,3240.2,3265.53,3215.93,3250.08,157179
2025-05-14,3250.84,3257.17,3168.08,3178.14,184229
2025-05-15,3179.59,3240.6,3120.77,3240.45,183786
2025-05-16,3239.12,3252.15,3154.3,3201.98,173621
2025-05-19,3218.04,3249.84,3206.26,3230.37,143286
2025-05-20,3230.75,3295.78,3204.67,3290.21,154589
2025-05-21,3291.28,3324.88,3285.38,3315.51,166388
2025-05-22,3318.78,3345.49,3279.36,3294.5,175399
2025-05-23,3294.57,3366.02,3287.15,3356.18,164845
2025-05-26,3352.69,3356.77,3323.62,3341.45,89992
2025-05-27,3343.92,3350.0,3285.22,3300.21,154422
2025-05-28,3301.87,3325.51,3276.97,3286.66,138498
2025-05-29,3287.2,3331.15,3245.58,3317.48,171086
2025-05-30,3318.51,3322.82,3271.64,3289.53,152816
2025-06-02,3298.41,3382.91,3295.71,3381.64,184053
2025-06-03,3382.55,3392.19,3333.17,3353.35,186495
2025-06-04,3354.62,3384.76,3343.85,3373.81,172600
2025-06-05,3374.57,3403.39,3339.41,3352.69,190982
2025-06-06,3354.9,3375.62,3307.14,3311.63,178968
2025-06-09,3316.26,3338.25,3293.52,3325.69,148844
2025-06-10,3326.16,3349.18,3301.87,3322.57,153785
2025-06-11,3321.59,3360.82,3315.56,3355.52,174249
2025-06-12,3358.3,3399.0,3338.45,3385.82,193368
2025-06-13,3385.81,3446.83,3379.81,3433.54,205964
2025-06-16,3441.28,3451.29,3382.72,3384.84,161699
2025-06-17,3386.08,3403.3,3366.23,3388.67,158871
2025-06-18,3392.42,3400.09,3362.6,3368.54,152244
2025-06-19,3370.31,3388.07,3347.64,3369.56,111919
2025-06-20,3370.25,3374.54,3340.4,3368.29,125610
2025-06-23,3393.23,3394.89,3347.1,3368.56,153568
2025-06-24,3368.3,3369.81,3295.48,3323.03,157613
2025-06-25,3324.35,3337.2,3311.97,3332.25,107888
2025-06-26,3334.86,3350.41,3310.0,3328.22,132169
2025-06-27,3327.48,3327.85,3256.12,3274.38,154283
2025-06-30,3276.5,3309.48,3249.16,3303.09,121162
2025-07-01,3303.22,3358.0,3302.34,3338.94,124799
2025-07-02,3338.92,3360.14,3327.6,3357.25,110565
2025-07-03,3358.98,3365.75,3311.63,3326.56,114587
2025-07-04,3325.74,3345.15,3323.54,3335.02,68407
2025-07-07,3337.32,3342.71,3296.5,3336.53,140061
2025-07-08,3339.13,3345.89,3287.15,3301.63,133400
2025-07-09,3302.29,3316.84,3282.73,3313.84,127444
2025-07-10,3314.77,3330.32,3310.07,3324.46,106180
2025-07-11,3324.33,3368.74,3321.88,3355.04,158687
2025-07-14,3364.71,3374.98,3341.05,3342.55,146919
2025-07-15,3344.43,3366.4,3320.27,3325.24,121132
2025-07-16,3324.2,3377.6,3319.66,3347.51,143911
2025-07-17,3349.56,3352.14,3309.77,3338.73,120131
2025-07-18,3341.36,3361.27,3331.88,3350.28,99859
2025-07-21,3349.67,3401.5,3344.97,3397.56,121341
2025-07-22,3397.63,3433.44,3383.35,3432.05,130201
